idx,h,s,v,label
1,60,122,180,g
2,4,158,138,r
3,61,117,183,g
4,136,20,220,w
5,32,147,214,y
6,136,23,228,w
7,139,23,216,w
8,59,140,156,g
9,60,121,187,g
