idx,h,s,v,label
1,112,42,172,b
2,111,45,162,b
3,56,53,151,g
4,10,161,201,o
5,9,103,200,o
6,39,126,191,y
7,45,34,82,g
8,50,20,48,?
9,110,38,175,b
