idx,h,s,v,label
1,126,12,208,w
2,107,180,183,b
3,7,142,176,r
4,3,177,153,r
5,34,149,208,y
6,105,167,178,b
7,21,42,55,?
8,35,42,56,?
9,125,13,184,w
