idx,h,s,v,label
1,110,35,208,b
2,109,178,200,b
3,12,105,224,o
4,22,145,174,y
5,10,179,214,o
6,12,124,244,o
7,31,27,79,?
8,8,56,60,r
9,111,29,170,b
