idx,h,s,v,label
1,124,11,179,?
2,125,10,162,?
3,125,9,161,?
4,34,140,192,y
5,106,173,172,b
6,124,13,161,?
7,20,45,85,?
8,10,46,154,?
9,124,10,192,w
